Name,San Francisco County,Alameda County,San Mateo County,Contra Costa County,Santa Clara County,County,Category,Black Owned,LGBTQ,Women,Who Applies,100 or fewer employees,500 or fewer employees,750 or fewer employees,750 or more,Type of Relief,Award Type,Award Amount Specified,Max Award Amount,Interest Rate Applicable,Interest rate,Type of Support,Public or Private,Type Entity Offering Support,Name of Entity,Is there a Deadline,Deadline,English,Spanish,Chinese,Website,Other Details,Date Added,Added By,Date Reviewed,Reviewed By,Review Notes
SBA Payment Protection Program,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Yes,Yes,No,No,COVID,One-Time,Yes,"$10,000,000",Yes and Reported,0.01,Loan,Public ,Government,Municipal Gov,Unknown,,Yes,Yes,Yes,https://oewd.org/businesses-impacted-covid-19#Loans,"Funds can only be used to pay payroll costs (including benefits), interest on mortgages, rent, and utilities. The loan will be fully forgiven as long as 75% of the funds are used to cover payroll costs over an eight week period after the loan is made",06/05/20,Emily Kasa,6/10/20,Ravi Patel,
Economic Injury Disaster Loan (EIDL),Yes,Yes,Yes,Yes,Yes,All,Agriculture,No,No,No,Unknown,Yes,Yes,No,No,COVID,One-Time,Yes,"$2,000,000",Yes and Reported,0.0375,Loan,Public ,Government,Municipal Gov,Unknown,,Yes,No,No,https://www.sba.gov/page/disaster-loan-applications#section-header-0,800-659-2955,06/05/20,Emily Kasa,6/10/20,Ravi Patel,
USA Small Business Administration,Yes,Yes,Yes,No,Yes,All,All,No,No,No,Unknown,Yes,Yes,No,No,COVID,One-Time,Yes,"$25,000",No,0,Loan ,Public ,Government,Federal Gov,Unknown,,Yes,No,No,https://www.sba.gov/funding-programs/loans/coronavirus-relief-options/sba-express-bridge-loans,"Enables small businesses who currently have a business relationship with an SBA Express Lender to access up to $25,000 quickly. See here https://www.sba.gov/document/support--express-bridge-loan-pilot-program-guide",06/05/20,Emily Kasa,6/10/20,Ravi Patel,
Pandemic Unemployment Assistance (PUA),Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,0,Insurance,Public ,Government,State Gov,Unknown,,Yes,Yes,Yes,https://www.edd.ca.gov/about_edd/coronavirus-2019/pandemic-unemployment-assistance.htm,,06/05/20,Emily Kasa,6/10/20,Ravi Patel,
California Disaster Relief Loan Guarantee Program — COVID-19,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Unknown,Unknown,Yes,No,COVID,One-Time,No,,Yes but not Reported,,Loan,Public,Government,State Gov,Unknown,,Yes,Yes,No,https://www.ibank.ca.gov/small-business-finance-center/,,06/05/20,Emily Kasa,06/10/20,Ravi Patel,
COVID-19: A Just East Bay Response Fund,No,Yes,No,Yes,No,Some,All,No,No,No,Non-Profits Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,0,Grant,Private,Non-Profit,East Bay Community Foundation,Unknown,,Yes,No,No,https://www.ebcf.org/covid-19-fund-faq/,,06/05/20,Emily Kasa,6/10/20,Ravi Patel,
Resiliency Relief Grant Program,No,Yes,No,No,No,Some,All,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$1,000,000",No,0,Grant,Private,Non-Profit,OAACCF,Yes,06/20/20,Yes,No,No,https://oaacc.org/resiliency-fund/,,06/05/20,Emily Kasa,6/22/2020,Dee Jomo,
Business For All,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$50,000",No,0,Grant,Private,Non-Profit,Business For All,Yes,09/20/19,Yes,No,No,https://businessforall.helloalice.com,,06/05/20,Emily Kasa,6/22/2020,Dee Jomo,
Oakland Repair Fund,No,Yes,No,Unknown,No,Some,Multiple,Yes,No,No,Unknown,Yes,No,No,No,Protest Damage,One-Time,Yes,$600,No,,Grant,Private,Non-Profit,Oakland Indie Alliance,Unknown,,Yes,No,No,http://www.oaklandindiealliance.com/repair-apply,,6/7/20,Emily Kasa,6/22/2020,Dee Jomo,
Small Business Assistance Grant Program - City of Santa Clara,No,No,No,No,Yes,Some,All,No,No,No,All,Yes,No,No,No,COVID,One-Time,Yes,"$10,000",Unknown,,Grant,Public,Government,City of Santa Clara,Unknown,,Yes,Yes,Yes,https://www.santaclaraca.gov/i-want-to/stay-informed/newsroom/coronavirus-updates/covid-19-business-resources/small-business-assistance-grant-program,"Initial grant money has all been awarded, but a GoFundMe has been started to raise additional funds: https://www.gofundme.com/f/santa-clara-small-business-assistance-fund?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet",6/10/20,Julie Wiederhold,6/24/2020,Seth Puckett,
Berkeley Relief Fund,No,Yes,No,No,No,Some,All,No,No,No,All,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$10,000",No,0,Grant,Public,Government,Berkeley City Council,Unknown,,Yes,No,No,https://berkeleyrelieffund.org/,,2020-06-10,Arnav Khanna,6/22/2020,Dee Jomo,
SF Women’s Entrepreneurship Fund,Yes,Unknown,Unknown,Unknown,Unknown,Some,All,No,No,No,Businesses Only,Yes,Yes,Unknown,Unknown,Both,One-Time,No,"$5,000",No,,Grant,Public,Government,SF Women’s Entrepreneurship Fund,Yes,06/15/20,Yes,Yes,Yes,https://sf.gov/apply-women-owned-small-business-mini-grant,Applies specifically to women owned businesses,06/10/20,Emily Kasa,6/22/2020,Dee Jomo,Closed on 6/15
Silicon Valley Small Business Relief Fund,Yes,Yes,Yes,Yes,Yes,Some,All,No,No,No,All,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,,Unknown,,Grant,Private,Non-Profit,Silcon Valley Community Foundation,No,,Yes,Unknown,Unknown,https://www.siliconvalleycf.org/small-business-relief-fund,Loans also available,06/10/20,Dee Jomo,6/24/2020,Seth Puckett,
Kiva Small Business Loans,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,,Yes but not Reported,,Loan,Private,Non-Profit,Kiva,No,,Yes,Yes,Unknown,https://www.kiva.org/,,6/10/20,Julie Wiederhold,6/22/2020,Dee Jomo,
SF Resiliancy Fund,Yes,No,No,No,No,Some,All,No,No,No,Businesses Only,Yes,No,No,No,COVID,One-Time,Yes,"$10,000",No,,Grant,Private,Non-Profit,Give2SF,Yes,6/17/2020,Yes,Yes,Yes,https://oewd.org/node/4442#Small%20Biz%20Resiliency%20Fund,This fund will continue until it runs out of money (which has happened once),6/10/20,Ravi Patel,6/24/2020,Seth Puckett,Closed on 6/17
San Francisco Hardship Emergency Loan Program (SF HELP),Yes,No,No,No,No,Some,All,No,No,No,All,Yes,Yes,No,No,COVID,One-Time,Yes,"$50,000",No,0,Loan,Private,Non-Profit,Give2SF,Yes,6/17/2020,Yes,Yes,Yes,https://oewd.org/node/4442#zero%20interest%20loan,This fund will continue until it runs out of money (which has happened once),6/10/20,Ravi Patel,6/25/2020,Seth Puckett,Closed on 6/17
Dublin Small Business Microloan Program,No,Yes,No,No,No,Some,All,No,No,No,Businesses Only,Yes,No,No,No,COVID,One-Time,No,"$10,000",No,0,Loan,Private,Government,City of Dublin,Yes,6/18/2020,Yes,No,No,https://www.dublin.ca.gov/microloan,,6/10/20,Arnav Khanna,6/25/2020,Seth Puckett,Closed on 6/18
Alice Ross Carey Preservation Fund,Yes,No,No,No,No,Some,Multiple,No,No,No,Non-Profits Only,Yes,No,No,No,Both,One-Time,Yes,"$10,000",No,,Grant,Private,Private,SF Heritage,Yes,08/01/20,Yes,No,No,https://www.sfheritage.org/alice-ross-carey-preservation-fund/,There is an opportunity to be awarded multiple times. The fund is not specifically for Covid or protest releif.,6/10/20,Ravi Patel,6/25/2020,Seth Puckett,
Bay Area Black Owned Business Relief Fund,Yes,Yes,Yes,Yes,Yes,All,All,Yes,No,No,All,Unknown,Unknown,Unknown,Unknown,Protest Damage,One-Time,No,,No,,Grant,Private,GoFund Me,Bay Area Black Owned Business Relief Fund,Unknown,,Yes,No,No,https://docs.google.com/forms/d/e/1FAIpQLSdXQmSNSHzPTuuffzgOvWPGRCt4dmEHHQJQSn2mCr-DjzDq_Q/viewform,https://www.gofundme.com/f/bay-area-black-owned-business-relief-fund,6/10/20,Emily Kasa,6/25/2020,Seth Puckett,
LGBTQ COVID-19 Response Emergency Fund,Yes,Yes,Yes,Yes,Yes,All,All,No,Yes,No,Non-Profits Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$20,000",No,,Grant,Private,Non-Profit,Horizons,Unknown,,Yes,Unknown,Unknown,https://www.horizonsfoundation.org/covid19/,https://www.horizonsfoundation.org/emergency-grants-bay-area-lgbtq-organizations-total-over-640000/,06/10/20,Emily Kasa,6/24/2020,Seth Puckett,
Opportunity Fund Working Capital Loans,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Yes,Unknown,Unknown,Unknown,Both,One-Time,Yes,"$250,000",Yes but not Reported,,Loan,Private,Non-Profit,Opportunity Fund,No,,Yes,Yes,Unknown,https://www.opportunityfund.org/get-a-loan/,,6/10/20,Jonah Bleckner,6/30/2020,Seth Puckett,
Verizon Small Business Recovery Fund,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$10,000",No,,Grant,Private,Non-Profit,LISC & Verizon,No,,Yes,Yes,Unknown,https://www.lisc.org/covid-19/small-business-assistance/small-business-relief-grants/verizon-small-business-recovery-fund/,,6/10/20,Jonah Bleckner,6/30/2020,Seth Puckett,
Facebook Small Business Grants,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Businesses Only,Yes,No,No,No,COVID,One-Time,No,,No,,Grant,Private,Private,Facebook,Yes,4/16/20,Yes,Unknown,Unknown,https://www.facebook.com/business/boost/grants,,6/10/20,Jonah Bleckner,6/30/2020,Seth Puckett,Closed
"GoFundMe.org Small Buisness Relief Fund - Redwood City, CA",Yes,Yes,Yes,Yes,Yes,Unknown,All,No,No,No,All,Yes,Yes,Yes,Unknown,Both,One-Time,No,$500,No,,Grant,Private,GoFund Me,GoFundMe.org,No,,Yes,Yes,Yes,https://www.gofundme.com/f/smallbusinessrelieffund,,6/10/2020,Megan Gentes,,,
Redwood City Small Business Relief Fund,No,No,Yes,No,No,Some,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Both,One-Time,No,,No,,Grant,Private,Private,Brett Weber,No,,Yes,Yes,Yes,https://www.gofundme.com/f/redwood-city-small-business-relief-fund,,6/10/2020,Megan Gentes,,Marshall Fisher,
"
Norcal Small Business Relief Fund",Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Protest Damage,One-Time,No,,No,,Grant,Private,Private,"Team Fundraiser: Jane Thomas, Destiny Thomas, Jennifer Louie, Christian Thomas Trent Thomas, Michaela Thomas ",No,,Yes,Unknown,Unknown,https://www.gofundme.com/f/norcal-small-business-relief-fund,,6/10/2020,Megan Gentes,,Marshall Fisher,
San Francisco Foundation,Yes,Yes,Yes,Yes,Yes,All,All,,,No,Non-Profit Only,Yes,Yes,Yes,Yes,Both,One-Time,Yes,"$25,000",No,,Grant,Private,Non-Profit,San Francisco Foundation,Yes,June 15,Yes,No,No,https://sff.org/for-nonprofits-apply-for-a-grant-from-the-sff-covid-19-emergency-response-fund/,Potentially multiple rounds,June 10,Marshall Fisher,,,
Berkeley Business Continuity Grants,No,Yes,No,No,No,Some,All,,,No,Unknown,Yes,No,No,No,COVID,One-Time,Yes,"$10,000",No,,Grant,Public,Government,City of Berkeley,,,Yes,No,No,https://www.cityofberkeley.info/covid19-business-grants/,Potential second round,June 10,Marshall Fisher,,,
Santa Clara Small Business Assistance,No,No,No,No,Yes,Some,All,No,No,No,Unknown,Yes,No,No,No,COVID,One-Time,Yes,"$10,000",No,,Grant,Public,Government,City of Santa Clara,No,,Yes,Unknown,Unknown,https://www.santaclaraca.gov/i-want-to/stay-informed/newsroom/coronavirus-updates/covid-19-business-resources/small-business-assistance-grant-program,Must be fewer than 25 employees,June 10,Marshall Fisher,,,
Hello Alice,Yes,Yes,Yes,Yes,Yes,All,Hospitality,No,No,No,Unknown,Yes,Yes,Unknown,Yes,COVID,One-Time,Yes,"$10,000",No,,Grant,Private,Private,Hello Alice,No,,Yes,Unknown,Unknown,https://www.covid19businesscenter.com/,,June 10,Marshall Fisher,,,
Oakland Relief Fund,No,Yes,No,No,No,Some,All,,,No,Non-Profit Only,Yes,Yes,Yes,Yes,COVID,One-Time,No,,No,,Grant,Private,Non-Profit,Oakland Fund for Public Innovation,No,,Yes,Unknown,Unknown,https://www.oaklandfund.org/covid-19-relief-fund/,,June 10,Marshall Fisher,,,
COVID-19 Emergency Loan for Arts & Culture Nonprofits,Yes,Yes,Yes,Yes,Yes,Some,Multiple,No,No,No,Non-Profits Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$50,000",Yes and Reported,0.025,Loan,Private,Non-Profit,NCG,Unknown,,Yes,No,No,https://www.artsloanfund.org/covid-19-emergency,"Arts and culture organizations that maintain an active teaching, presenting, exhibiting, producing, or archiving practice or that provide vital services to artists and cultural organizations.",,Emily Kasa,,,
Emergency Relief Program,Yes,Yes,Yes,Yes,Yes,All,Hospitality,No,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,,Grant,Private,Non-Profit,Southern Smoke,Unknown,,Yes,Yes,No,https://form.southernsmoke.org/smoke/application/,Our Emergency Relief Program provides emergency funding to those employed by or own restaurants or bars or are employed by a restaurant or bar supplier that are faced unforeseen expenses that cannot or will not be covered by insurance.,6/17/20,Emily kasa,,,
One Fair Wage Emergency Fund,,,,Unknown,Unknown,Unknown,Hospitality,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,,Grant,Private,Non-Profit,One Fair Wage,Unknown,,Yes,Yes,No,https://rocunited.org/stop-the-spread/coronavirus-support/,,6/17/20,Emily Kasa,,,
SoOakland,No,Yes,No,No,No,Some,All,Yes,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,Both,One-Time,Yes,"$2,000",No,,Grant,Private,Non-Profit,SoOakland,Unknown,,Yes,No,No,http://www.sooakland.com/sooakland-foundation,,6/17/20,Emily Kasa,,,
COVID Resiliency Relief Fund ,No,Yes,No,No,No,Some,All,Yes,No,No,Businesses Only,Yes,No,No,No,COVID,One-Time,No,,,,Grant,Public,Government,Oakland African American Chamber of Commerce,Yes,06/20/20,Yes,No,No,https://oaacc.org/resiliency-fund/,,6/17/20,Emily Kasa,,,
Alameda County Small Business Development Center,No,Yes,No,No,No,Some,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Both,Recurring,No,,Yes but not Reported,,Loan,Public,Government,,No,,Yes,Yes,Yes,https://www.acsbdc.org/services/need-money-alameda-sbdc,,,,,,
California Capital Access Program (CalCAP),Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Unknown,Unknown,Unknown,Unknown,Both,Recurring,No,,Yes but not Reported,,Loan,Public,Government,California State treasurer,No,,Yes,Unknown,Unknown,https://www.treasurer.ca.gov/cpcfa/calcap/sb/index.asp,,,,,,
Shea Moisture Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Both,One-Time,No,,No,,Grant,Private,Non-Profit,Shea Moisture,No,,Yes,Unknown,Unknown,https://www.sheamoisturefund.com/about-1,,6/17/20,Dee Jomo,,,
IFW COVID-19 Relief Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,,Grant,Private,Non-Profit,iFundWomen,,,Yes,Unknown,Unknown,https://ifundwomen.com/covid-19,,6/17/2020,Dee Jomo,,,
Verizon Small Business Recovery Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,Yes,No,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,"$10,000",Unknown,,Grant,Private,Private,Verizon,Unknown,,Yes,Yes,Unknown,https://www.verizon.com/pay-it-forward-live/?CMP=OLA_SMB_OTH_22222_NA_20200325_NA_NM20200057_00001,https://www.lisc.org/covid-19/small-business-assistance/small-business-relief-grants/verizon-small-business-recovery-fund/,6/17/2020,Dee Jomo,,,
South Asian Resilence Fund,Yes,Yes,Yes,Yes,Yes,All,Entertainment,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$1,000",No,,Grant,Private,Non-Profit,Indian Center Foundation,Unknown,,Yes,No,No,https://indiacenter.formstack.com/forms/artsfund,,6/17/2020,Dee Jomo,,,
The your Friends in New York Business Relief Fund,Yes,Yes,Yes,Yes,Yes,Unknown,Multiple,Yes,Yes,No,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,"$5,000",No,,Grant,Private,Non-Profit,Pyer Moss,Unknown,,Yes,Yes,Yes,http://yourfriendsin.nyc/survey.html,,6/17/2020,Dee Jomo,,,
The Doonie Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Both,Recurring,No,,No,,Grant,Private,Non-Profit,Digitalundivided,Unknown,,Yes,Yes,No,https://www.digitalundivided.com/the-doonie-fund,Black and Latinx only,6/17/2020,Dee Jomo,,,
California Infrastructure Bank (IBank),Yes,Yes,Yes,Yes,Yes,All,Multiple,No,No,No,All,Yes,Yes,Yes,No,COVID,One-Time,No,,Yes but not Reported,,Loan,Public,Government,State of California,Unknown,,Yes,Yes,No,https://www.ibank.ca.gov/,,06/17/20,Charles Beta,,,
African American Small Business Revolving Loan Fund,Yes,No,No,No,No,Some,All,Yes,No,No,All,Yes,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$50,000",Yes and Reported,0,Loan,Private,Non-Profit,Give2SF,Unknown,,Yes,Yes,Yes,https://oewd.org/businesses-impacted-covid-19#AA%20Revolving%20Loan%20Fund,More info: https://www.sfchronicle.com/business/article/SF-creates-coronavirus-loan-fund-for-black-owned-15350767.php,6/24/2020,Seth Puckett,,,
Oakland Black Damage Fund,No,Yes,No,No,No,Some,All,Yes,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,Protest Damage,One-Time,Yes,"$5,000",No,,Grant,Private,GoFund Me,Oakland Black Damage Fund,Unknown,,Yes,No,No,https://docs.google.com/forms/d/e/1FAIpQLSdq6Dq18QjWd0desNEjjpnNyz8EWP5dJ3ytTK4EJ5SJBO3fuw/viewform?mc_cid=ab80a0f88e&mc_eid=539c76a5b8,Black businesses,06/24/20,Emily Kasa,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poise Bounce Back Grants,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,All,No,No,Yes,Businesses Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$15,000",No,,Grant,Private,Private,Poise,Yes,06/29/20,Yes,No,No,https://www.poise.com/en-us/bounce-back-grant,Women entrepreneurs,06/24/20,Emily Kasa,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,